customer_id,email,first_name,last_name,age,gender,annual_income,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
1,thomas32@example.com,Ana,Lopez,52,Other,60852,Divorced,Some College,Rural,New Leslie,Wyoming,USA,2024-02-28,2024-03-28,Web,True
2,lisa88@example.net,Alexandra,Wallace,54,F,110690,Widowed,PhD,Rural,East Emilyville,Rhode Island,USA,2024-07-16,2024-08-11,Web,True
3,dianakelly@example.com,John,Mcneil,41,Other,57975,Widowed,PhD,Rural,Port Christopherland,California,USA,2024-08-17,2024-09-10,Email,True
4,chavezmichael@example.org,Danielle,Macias,68,Other,88023,Single,Some College,Suburban,Clarkberg,New Hampshire,USA,2023-08-13,2023-08-13,Web,True
5,pnunez@example.com,Andrew,West,37,F,81276,Widowed,Some College,Urban,Clarkhaven,New Hampshire,USA,2023-01-18,2023-01-19,Mobile App,True
6,brightmartha@example.com,Joan,Johnson,38,F,51028,Widowed,Some College,Rural,Smithfort,Illinois,USA,2023-05-23,2023-06-21,Mobile App,True
7,william31@example.net,Jesse,Park,48,M,15000,Married,High School,Rural,North Anthonyville,Kentucky,USA,2023-08-18,2023-09-09,Web,True
8,steven89@example.net,Holly,Rodriguez,19,Other,48131,Widowed,Bachelor,Urban,South Saraland,Rhode Island,USA,2023-01-27,2023-02-18,Web,True
9,daniel79@example.net,Jonathan,Martinez,29,F,74427,Married,High School,Urban,South Jomouth,Kansas,USA,2023-03-17,2023-03-28,Web,False
10,fdawson@example.com,Meghan,Castillo,31,M,22630,Widowed,Some College,Urban,West Sarah,Ohio,USA,2023-03-20,2023-04-04,Email,True
11,ovega@example.com,Sheryl,Diaz,66,Other,58226,Divorced,Master,Suburban,Georgebury,Michigan,USA,2024-06-24,2024-07-17,Mobile App,True
12,natalie95@example.net,Christian,Reed,46,Other,22257,Single,Bachelor,Urban,New Mary,Nebraska,USA,2024-10-22,2024-10-26,Web,True
13,curtisanita@example.com,Levi,Jones,36,Other,68327,Married,PhD,Urban,Timothyfort,Iowa,USA,2023-02-02,2023-02-02,Mobile App,True
14,brewereric@example.com,Collin,Sutton,27,F,76270,Divorced,PhD,Rural,North Brent,Nebraska,USA,2024-11-27,2024-12-06,Email,True
15,coffeythomas@example.org,Andrew,Francis,35,F,56249,Single,PhD,Suburban,Riverafurt,Arkansas,USA,2023-06-10,2023-07-10,Web,True
16,garciaterry@example.com,James,Gomez,35,Other,120568,Single,Some College,Suburban,South Lynn,Arkansas,USA,2024-02-15,2024-02-20,Email,True
