order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,shipping_address,billing_address,created_at,updated_at
1,1,2024-05-18,Delivered,5515.6,19.12,Credit Card,15493 Dunn Key Apt. 138,9558 Justin Summit,2024-05-18,2024-05-18
2,1,2024-06-29,Delivered,2955.87,11.77,Credit Card,114 Heidi Courts Apt. 337,39956 Billy Knolls Suite 395,2024-06-29,2024-06-29
3,1,2024-07-07,Delivered,3064.34,19.01,Debit Card,493 Kayla Spring,2216 Kelly Tunnel,2024-07-07,2024-07-09
4,2,2024-08-18,Delivered,5641.14,12.8,Credit Card,377 Lisa Fort,77442 Gina Burg Apt. 519,2024-08-18,2024-08-20
5,2,2024-09-14,Delivered,4700.23,12.39,Debit Card,84272 Sarah Pines Apt. 394,70114 Newton Vista,2024-09-14,2024-09-19
6,2,2024-08-09,Delivered,1542.04,6.75,Credit Card,94038 Carpenter Trafficway Suite 598,273 Kimberly Loaf,2024-08-09,2024-08-13
7,2,2024-09-06,Delivered,1491.76,10.42,Credit Card,353 Jennifer Causeway,7729 Bennett Courts,2024-09-06,2024-09-09
8,2,2024-08-24,Delivered,4551.57,15.27,Credit Card,22613 Thompson Tunnel Apt. 881,5946 Rebecca Heights,2024-08-24,2024-08-24
9,2,2024-08-29,Delivered,2315.53,16.51,Credit Card,9797 Adams Walks Apt. 930,93289 Brown Mission,2024-08-29,2024-09-01
10,2,2024-11-23,Delivered,3039.62,13.25,PayPal,812 Allison Tunnel,617 Davis Springs Apt. 547,2024-11-23,2024-11-28
11,2,2024-11-17,Delivered,2107.02,11.37,Credit Card,81371 Baker Crest Apt. 205,05117 Glenn Islands,2024-11-17,2024-11-21
12,2,2024-09-07,Delivered,1383.32,19.76,Credit Card,36758 Jacob Shoal Suite 821,87484 Colleen Tunnel Suite 232,2024-09-07,2024-09-08
13,2,2024-10-01,Delivered,1002.01,18.45,PayPal,0650 Kimberly Point Apt. 830,06759 Carmen Burgs Apt. 415,2024-10-01,2024-10-02
14,3,2024-11-12,Delivered,440.46,9.48,Debit Card,277 Maldonado Estates,57780 Peterson Mount,2024-11-12,2024-11-17
15,3,2024-12-30,Delivered,4257.43,7.05,Debit Card,7927 May Burg Suite 944,764 Sandra Mall,2024-12-30,2024-12-30
16,3,2024-08-30,Delivered,6923.47,6.54,Credit Card,2329 James Motorway,59317 Karen Courts Apt. 329,2024-08-30,2024-09-03
17,3,2024-08-29,Delivered,2605.84,12.61,Credit Card,020 Maria Gardens Suite 655,913 Charles Knoll Apt. 946,2024-08-29,2024-08-31
18,4,2024-05-31,Delivered,2513.37,13.61,PayPal,54128 Stone Spurs Apt. 430,737 Calvin Center,2024-05-31,2024-06-02
