customer_id,email,first_name,last_name,age,gender,annual_income,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
1000000,lisa77@example.org,Emily,Dean,52,F,60852,Divorced,High School,Urban,Allenview,Illinois,USA,2025-01-09 10:23:44.104742,2025-01-09 10:23:44.104742,Mobile App,True
1000001,canderson@example.net,Mark,Gutierrez,54,M,110690,Single,Bachelor,Urban,Antonioview,Delaware,USA,2025-01-09 10:23:44.104742,2025-01-09 10:23:44.104742,Email,True
1000002,evan83@example.com,Monica,Ellis,41,M,57975,Divorced,High School,Rural,Beanton,Tennessee,USA,2024-12-14 10:23:44.104742,2024-12-14 10:23:44.104742,Email,False
1000003,nguyencaroline@example.net,Jennifer,Mcknight,68,M,88023,Single,Bachelor,Urban,Port Lisa,West Virginia,USA,2024-12-18 10:23:44.104742,2024-12-21 10:23:44.104742,Mobile App,False
1000004,hamiltonmadeline@example.net,Julie,Holmes,37,F,81276,Married,Bachelor,Suburban,East Claudia,Idaho,USA,2025-01-01 10:23:44.104742,2025-01-03 10:23:44.104742,Email,True
1000005,amandacherry@example.com,Patrick,Day,38,Other,51028,Single,Bachelor,Suburban,Lake Amanda,Colorado,USA,2025-01-08 10:23:44.104742,2025-01-12 10:23:44.104742,Email,True
1000006,dean96@example.org,Tim,Castillo,48,M,15000,Widowed,Master,Rural,New Seanshire,Idaho,USA,2024-12-27 10:23:44.104742,2024-12-28 10:23:44.104742,Web,True
1000007,richard44@example.org,Melissa,Barnett,19,F,48131,Single,High School,Rural,East Caseybury,Massachusetts,USA,2025-01-08 10:23:44.104742,2025-01-12 10:23:44.104742,Web,True
1000008,rleach@example.org,Douglas,Robles,29,Other,74427,Married,Some College,Rural,East Carlos,Kansas,USA,2024-12-18 10:23:44.104742,2024-12-23 10:23:44.104742,Email,True
1000009,eric29@example.net,Jonathan,Ramirez,31,Other,22630,Divorced,Master,Urban,Brandonhaven,Connecticut,USA,2024-12-24 10:23:44.104742,2024-12-29 10:23:44.104742,Mobile App,True
1000010,andreafernandez@example.com,Jonathan,Cooper,66,M,58226,Widowed,Some College,Urban,Lake Scottmouth,New Jersey,USA,2024-12-24 10:23:44.104742,2024-12-27 10:23:44.104742,Email,True
1000011,scott45@example.org,Krystal,Silva,46,Other,22257,Widowed,High School,Urban,West Samuelview,Colorado,USA,2024-12-13 10:23:44.104742,2024-12-14 10:23:44.104742,Web,True
1000012,maysjeffrey@example.net,Mary,Juarez,36,M,68327,Widowed,High School,Suburban,Webbtown,Louisiana,USA,2025-01-03 10:23:44.104742,2025-01-07 10:23:44.104742,Mobile App,True
1000013,scrawford@example.net,Matthew,Daniels,27,M,76270,Divorced,PhD,Suburban,Stanleyport,Missouri,USA,2025-01-03 10:23:44.104742,2025-01-04 10:23:44.104742,Mobile App,False
1000014,scarr@example.net,Christopher,Moore,35,F,56249,Divorced,Master,Suburban,Lake Frank,South Dakota,USA,2025-01-07 10:23:44.104742,2025-01-12 10:23:44.104742,Mobile App,True
1000015,elizabethlawrence@example.org,Linda,Garrison,35,Other,120568,Widowed,High School,Suburban,Rangelborough,Wyoming,USA,2025-01-08 10:23:44.104742,2025-01-08 10:23:44.104742,Mobile App,True
1000016,deborahlivingston@example.com,Jon,Garcia,44,Other,33268,Married,Master,Suburban,Riveraton,Montana,USA,2024-12-16 10:23:44.104742,2024-12-20 10:23:44.104742,Email,True
1000017,imiles@example.org,Andrea,Hansen,57,F,28374,Single,Master,Rural,Lake Michaelamouth,Oklahoma,USA,2024-12-13 10:23:44.104742,2024-12-15 10:23:44.104742,Mobile App,True
1000018,iwalker@example.net,Jacqueline,Barker,48,M,15000,Single,Some College,Rural,Medinashire,Illinois,USA,2024-12-15 10:23:44.104742,2024-12-20 10:23:44.104742,Email,False
1000019,rschneider@example.org,Donna,Hall,25,F,70905,Widowed,Some College,Rural,East Joel,Oklahoma,USA,2024-12-16 10:23:44.104742,2024-12-16 10:23:44.104742,Mobile App,True
1000020,lawrencemarc@example.org,Nancy,Williams,56,F,70141,Single,Bachelor,Suburban,Trevorport,Minnesota,USA,2025-01-05 10:23:44.104742,2025-01-08 10:23:44.104742,Mobile App,True
1000021,pjackson@example.com,Jeffrey,George,43,M,55966,Single,Some College,Rural,Lake Sarahfurt,West Virginia,USA,2024-12-15 10:23:44.104742,2024-12-18 10:23:44.104742,Web,True
1000022,travis16@example.com,Theresa,Hicks,22,F,43404,Married,Master,Suburban,Amyview,Arkansas,USA,2024-12-14 10:23:44.104742,2024-12-17 10:23:44.104742,Web,True
1000023,rholt@example.net,Joseph,Dean,38,M,96713,Widowed,High School,Suburban,Lake Martinchester,South Dakota,USA,2024-12-24 10:23:44.104742,2024-12-27 10:23:44.104742,Mobile App,False
1000024,ann94@example.org,Rebecca,Gray,50,M,15000,Married,Bachelor,Rural,Porterburgh,Massachusetts,USA,2025-01-08 10:23:44.104742,2025-01-11 10:23:44.104742,Web,True
1000025,ashleyfranco@example.net,Regina,Berg,49,M,53447,Divorced,Master,Suburban,Matthewmouth,Nevada,USA,2024-12-19 10:23:44.104742,2024-12-22 10:23:44.104742,Web,False
1000026,ryangibson@example.net,Melissa,Robles,34,Other,83350,Widowed,Bachelor,Suburban,Ninamouth,Michigan,USA,2024-12-16 10:23:44.104742,2024-12-16 10:23:44.104742,Email,True
1000027,znielsen@example.com,Brooke,Gallegos,60,F,92938,Widowed,High School,Suburban,Pamelaport,Alaska,USA,2025-01-08 10:23:44.104742,2025-01-08 10:23:44.104742,Email,True
1000028,lauramurray@example.com,Brian,Prince,32,M,55723,Divorced,Some College,Urban,Port Brianmouth,Illinois,USA,2024-12-30 10:23:44.104742,2025-01-03 10:23:44.104742,Web,True
1000029,david48@example.org,Kristen,Martinez,49,F,94266,Married,Some College,Suburban,Leestad,Florida,USA,2024-12-30 10:23:44.104742,2025-01-01 10:23:44.104742,Mobile App,True
1000030,smithjimmy@example.org,Russell,Lee,37,M,59430,Widowed,Bachelor,Rural,Millerburgh,California,USA,2024-12-26 10:23:44.104742,2024-12-31 10:23:44.104742,Email,True
1000031,tinasimmons@example.com,Sean,Malone,28,Other,29113,Married,High School,Rural,New Danielhaven,Nebraska,USA,2025-01-12 10:23:44.104742,2025-01-12 10:23:44.104742,Email,True
1000032,xgregory@example.net,David,Taylor,57,Other,105687,Divorced,High School,Urban,Douglasland,Hawaii,USA,2025-01-08 10:23:44.104742,2025-01-10 10:23:44.104742,Mobile App,True
