order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,shipping_address,billing_address,created_at,updated_at
1000001,1000000,2025-01-10 07:42:22.498875,Processing,2404.01,17.05,Credit Card,58670 Brady Viaduct,11364 Small Gateway Apt. 848,2025-01-10 07:42:22.498875,2025-01-10 07:42:22.498875
2000002,1000001,2025-01-09 07:42:22.498875,Processing,2863.8,19.93,Credit Card,6116 Solis Streets Apt. 040,7295 Courtney Corners Apt. 344,2025-01-09 07:42:22.498875,2025-01-10 07:42:22.498875
3000003,1000001,2025-01-09 07:42:22.498875,Processing,3490.58,13.97,Debit Card,975 Flores Lodge,14793 Brianna Brooks,2025-01-09 07:42:22.498875,2025-01-10 07:42:22.498875
4000004,1000002,2024-12-19 07:42:22.498875,Delivered,1235.2,14.37,Debit Card,909 Glenn Lakes,0518 David Village Apt. 793,2024-12-19 07:42:22.498875,2024-12-21 07:42:22.498875
5000005,1000002,2024-12-24 07:42:22.498875,Delivered,1728.37,16.39,Debit Card,1935 Ryan Key Apt. 531,41265 Dustin Brook Apt. 584,2024-12-24 07:42:22.498875,2024-12-26 07:42:22.498875
6000006,1000003,2024-12-19 07:42:22.498875,Delivered,182.66,19.72,Credit Card,8205 Michael Oval Apt. 472,2003 Smith Fort Suite 794,2024-12-19 07:42:22.498875,2024-12-21 07:42:22.498875
7000007,1000003,2025-01-03 07:42:22.498875,Delivered,2931.74,7.18,Debit Card,51753 Steven Neck,918 Danielle Spur,2025-01-03 07:42:22.498875,2025-01-05 07:42:22.498875
8000008,1000003,2025-01-05 07:42:22.498875,Delivered,3323.59,7.2,PayPal,2435 Monica Loaf,4303 Monique Ridge Suite 756,2025-01-05 07:42:22.498875,2025-01-05 07:42:22.498875
9000009,1000004,2025-01-01 07:42:22.498875,Delivered,3858.33,12.51,Debit Card,736 Collier Drive Suite 983,404 Heidi Trace Apt. 346,2025-01-01 07:42:22.498875,2025-01-01 07:42:22.498875
10000010,1000004,2025-01-01 07:42:22.498875,Delivered,1804.84,7.63,Credit Card,849 Alicia Row Suite 193,8092 Johnson Spring Apt. 008,2025-01-01 07:42:22.498875,2025-01-02 07:42:22.498875
11000011,1000004,2025-01-01 07:42:22.498875,Delivered,1273.96,7.12,Debit Card,114 Taylor Haven,8682 Kathryn Loaf,2025-01-01 07:42:22.498875,2025-01-03 07:42:22.498875
12000012,1000005,2025-01-08 07:42:22.498875,Shipped,4983.8,19.06,PayPal,22028 Garcia Stream,7674 Lee Glens,2025-01-08 07:42:22.498875,2025-01-08 07:42:22.498875
13000013,1000006,2024-12-31 07:42:22.498875,Delivered,4944.32,14.6,Credit Card,6215 Leslie Lakes Apt. 360,73401 Courtney Pike Suite 415,2024-12-31 07:42:22.498875,2025-01-02 07:42:22.498875
14000014,1000006,2025-01-06 07:42:22.498875,Shipped,7523.53,9.64,Credit Card,116 Mark Square,61815 Roberts Canyon,2025-01-06 07:42:22.498875,2025-01-07 07:42:22.498875
15000015,1000007,2025-01-08 07:42:22.498875,Shipped,5004.56,14.94,Credit Card,55562 Jason Stravenue,66057 Martinez Forks Suite 634,2025-01-08 07:42:22.498875,2025-01-10 07:42:22.498875
16000016,1000007,2025-01-08 07:42:22.498875,Shipped,1803.48,13.42,Debit Card,50140 Jared Lodge,1854 William Trafficway Suite 433,2025-01-08 07:42:22.498875,2025-01-08 07:42:22.498875
17000017,1000007,2025-01-08 07:42:22.498875,Shipped,5467.31,18.53,Credit Card,19498 Gregory Forges Apt. 811,528 Sandra Gardens,2025-01-08 07:42:22.498875,2025-01-10 07:42:22.498875
18000018,1000009,2024-12-24 07:42:22.498875,Delivered,4948.14,17.73,Debit Card,7846 Robert Drives Apt. 817,4152 Garrett Route Apt. 501,2024-12-24 07:42:22.498875,2024-12-26 07:42:22.498875
19000019,1000009,2025-01-08 07:42:22.498875,Shipped,2854.5,11.51,PayPal,2070 Jason Park,75600 Lewis Islands Suite 387,2025-01-08 07:42:22.498875,2025-01-10 07:42:22.498875
20000020,1000009,2024-12-31 07:42:22.498875,Delivered,1369.12,10.17,Credit Card,978 Barnett Manors Apt. 178,782 Matthew Garden,2024-12-31 07:42:22.498875,2025-01-02 07:42:22.498875
21000021,1000010,2024-12-28 07:42:22.498875,Delivered,1186.58,17.13,Credit Card,223 Finley Viaduct Suite 074,19581 Nichols Heights,2024-12-28 07:42:22.498875,2024-12-28 07:42:22.498875
22000022,1000011,2024-12-18 07:42:22.498875,Delivered,5152.04,12.93,Credit Card,090 Richardson Manors Suite 216,0223 Gray Meadow Apt. 806,2024-12-18 07:42:22.498875,2024-12-19 07:42:22.498875
23000023,1000011,2024-12-31 07:42:22.498875,Delivered,1227.22,13.12,Debit Card,2363 Steven Crescent Apt. 521,95653 Jones Island Suite 409,2024-12-31 07:42:22.498875,2025-01-01 07:42:22.498875
24000024,1000012,2025-01-03 07:42:22.498875,Delivered,2778.53,18.48,Credit Card,083 Herrera Canyon,318 Palmer Isle Apt. 946,2025-01-03 07:42:22.498875,2025-01-05 07:42:22.498875
25000025,1000012,2025-01-03 07:42:22.498875,Delivered,987.95,12.71,PayPal,271 Nichols Fields,4490 Kathryn Garden,2025-01-03 07:42:22.498875,2025-01-03 07:42:22.498875
26000026,1000012,2025-01-11 07:42:22.498875,Pending,3020.61,6.75,Credit Card,68757 Julian Cove,8099 Connie Centers,2025-01-11 07:42:22.498875,2025-01-11 07:42:22.498875
27000027,1000014,2025-01-10 07:42:22.498875,Processing,2270.26,15.02,Credit Card,8715 Erika Plaza Apt. 306,688 Kerr Groves,2025-01-10 07:42:22.498875,2025-01-10 07:42:22.498875
28000028,1000014,2025-01-07 07:42:22.498875,Shipped,4295.71,5.99,Credit Card,09869 Harper Passage,114 Toni Club,2025-01-07 07:42:22.498875,2025-01-08 07:42:22.498875
29000029,1000014,2025-01-07 07:42:22.498875,Shipped,1752.55,14.1,Credit Card,728 Ho Radial,2632 Tiffany Lane Suite 672,2025-01-07 07:42:22.498875,2025-01-08 07:42:22.498875
30000030,1000015,2025-01-08 07:42:22.498875,Shipped,5275.57,16.6,Debit Card,2463 Carlson Skyway Suite 637,6329 Amber Circle,2025-01-08 07:42:22.498875,2025-01-09 07:42:22.498875
31000031,1000016,2024-12-23 07:42:22.498875,Delivered,1376.94,7.15,Debit Card,579 Mark Inlet Suite 107,8128 Russell Manor,2024-12-23 07:42:22.498875,2024-12-24 07:42:22.498875
32000032,1000016,2025-01-04 07:42:22.498875,Delivered,1053.53,5.25,PayPal,06751 Cynthia Motorway Suite 491,58577 Carolyn Isle,2025-01-04 07:42:22.498875,2025-01-06 07:42:22.498875
33000033,1000016,2025-01-03 07:42:22.498875,Delivered,2095.21,10.86,Debit Card,2429 Amy Locks Suite 666,624 Stafford Centers,2025-01-03 07:42:22.498875,2025-01-04 07:42:22.498875
34000034,1000017,2024-12-19 07:42:22.498875,Delivered,5821.11,17.95,Credit Card,812 Selena Pass Suite 417,8966 Park Springs,2024-12-19 07:42:22.498875,2024-12-21 07:42:22.498875
35000035,1000017,2024-12-18 07:42:22.498875,Delivered,4740.49,6.38,PayPal,15051 Robert Circles,356 Juan Mall,2024-12-18 07:42:22.498875,2024-12-18 07:42:22.498875
36000036,1000017,2025-01-07 07:42:22.498875,Shipped,1604.92,13.48,Credit Card,53907 Abbott Well,89509 Marshall Fork,2025-01-07 07:42:22.498875,2025-01-08 07:42:22.498875
37000037,1000018,2024-12-15 07:42:22.498875,Delivered,3430.97,12.86,Credit Card,947 Darren Estates,938 Lisa Cliff,2024-12-15 07:42:22.498875,2024-12-15 07:42:22.498875
38000038,1000018,2024-12-29 07:42:22.498875,Delivered,3431.32,8.48,Debit Card,06106 Mcclain Burgs Suite 253,85567 Sanford Field Suite 441,2024-12-29 07:42:22.498875,2024-12-29 07:42:22.498875
39000039,1000018,2025-01-06 07:42:22.498875,Shipped,5061.75,10.17,PayPal,5881 Chen Route,1563 David Springs,2025-01-06 07:42:22.498875,2025-01-06 07:42:22.498875
40000040,1000018,2025-01-06 07:42:22.498875,Shipped,1205.38,17.74,Credit Card,51084 Dunn Stravenue,35074 Ramirez Extension Apt. 273,2025-01-06 07:42:22.498875,2025-01-06 07:42:22.498875
