CUSTOMER_ID,EMAIL,FIRST_NAME,LAST_NAME,AGE,GENDER,ANNUAL_INCOME,MARITAL_STATUS,EDUCATION,LOCATION_TYPE,CITY,STATE,COUNTRY,SIGNUP_DATE,LAST_LOGIN,PREFERRED_CHANNEL,IS_ACTIVE,DATA_SOURCE,BATCH_ID,LOADED_AT
1,thomas32@example.com,Ana,Lopez,52,Other,60852,Divorced,Some College,Rural,New Leslie,Wyoming,USA,2024-02-28T00:00:00.000,2024-03-28T00:00:00.000,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000329,uball@example.org,Mark,Thompson,47,M,60669,Single,PhD,Rural,Lake Elizabeth,West Virginia,USA,2024-12-29T10:23:44.104,2024-12-31T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000342,zkirk@example.org,Crystal,Kirk,26,F,86389,Married,Bachelor,Urban,Martinezton,Utah,USA,2025-01-01T10:23:44.104,2025-01-01T10:23:44.104,Mobile App,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000341,frederickwalker@example.net,Michelle,Allison,37,M,79681,Married,Some College,Rural,Timothymouth,Colorado,USA,2025-01-06T10:23:44.104,2025-01-09T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000340,williamsdennis@example.net,Janice,Williams,55,M,31128,Divorced,Bachelor,Urban,New Mary,Kansas,USA,2025-01-08T10:23:44.104,2025-01-09T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000339,vcampbell@example.org,Ricky,Harris,59,F,103146,Widowed,Master,Urban,Vanessaside,Nebraska,USA,2024-12-19T10:23:44.104,2024-12-20T10:23:44.104,Mobile App,False,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000338,ryan07@example.net,John,Wilson,28,M,117568,Married,Bachelor,Urban,East Elizabethborough,North Dakota,USA,2025-01-06T10:23:44.104,2025-01-10T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000337,dunnjessica@example.org,Daniel,Edwards,23,Other,41665,Married,Bachelor,Rural,Jefferymouth,Minnesota,USA,2025-01-12T10:23:44.104,2025-01-12T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000336,jason36@example.com,Richard,Houston,39,M,53856,Widowed,Master,Suburban,Juanchester,Oregon,USA,2024-12-15T10:23:44.104,2024-12-19T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000335,jonathan84@example.net,Bradley,Molina,63,Other,15000,Widowed,Bachelor,Urban,Oliverborough,New Hampshire,USA,2025-01-02T10:23:44.104,2025-01-05T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000334,jennifer28@example.net,Holly,Cameron,18,F,97745,Widowed,Some College,Suburban,Garzamouth,Virginia,USA,2024-12-30T10:23:44.104,2025-01-04T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000333,misty71@example.org,Rachel,Brennan,41,M,110119,Widowed,PhD,Suburban,Susanport,Vermont,USA,2024-12-26T10:23:44.104,2024-12-27T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000332,elizabeth87@example.net,Javier,Tapia,34,Other,68192,Single,Some College,Suburban,Johnsonshire,Maine,USA,2025-01-02T10:23:44.104,2025-01-04T10:23:44.104,Mobile App,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000331,tinafox@example.org,Jennifer,Palmer,44,F,48697,Single,Bachelor,Urban,Nicolemouth,Maryland,USA,2024-12-15T10:23:44.104,2024-12-15T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000330,priceholly@example.com,Ashley,Allen,36,Other,48594,Divorced,Bachelor,Rural,Harrisland,Iowa,USA,2025-01-08T10:23:44.104,2025-01-11T10:23:44.104,Mobile App,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000328,rhodeskaren@example.net,Jonathan,Clark,45,Other,64276,Divorced,High School,Rural,Brianton,Colorado,USA,2024-12-27T10:23:44.104,2024-12-31T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000313,nelsondavid@example.org,Ryan,Gutierrez,30,F,61226,Single,Bachelor,Urban,New Kaylaport,Wisconsin,USA,2025-01-09T10:23:44.104,2025-01-09T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000327,webstertim@example.com,Frances,Patel,83,F,66776,Divorced,Bachelor,Urban,Raymondfort,Mississippi,USA,2025-01-06T10:23:44.104,2025-01-11T10:23:44.104,Mobile App,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000326,pcarroll@example.com,Eric,Evans,40,M,31804,Single,PhD,Suburban,Lake Katherine,California,USA,2024-12-23T10:23:44.104,2024-12-28T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000325,kthompson@example.org,Angela,Nelson,72,F,98796,Divorced,Bachelor,Rural,Michellefurt,Nebraska,USA,2025-01-10T10:23:44.104,2025-01-12T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000324,juliaprince@example.net,Samantha,Reeves,41,M,85886,Married,Bachelor,Suburban,Sarafurt,North Dakota,USA,2025-01-06T10:23:44.104,2025-01-08T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000323,foxsteven@example.com,Melissa,Tucker,18,F,63371,Married,PhD,Suburban,South Patriciamouth,Wyoming,USA,2025-01-03T10:23:44.104,2025-01-04T10:23:44.104,Mobile App,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000322,parkerkylie@example.net,Michelle,Hamilton,41,F,56818,Married,Some College,Suburban,West Kathryn,Georgia,USA,2024-12-13T10:23:44.104,2024-12-14T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000321,alicewilliams@example.org,Micheal,Brown,41,M,19905,Married,Bachelor,Suburban,West Andreaberg,Minnesota,USA,2025-01-12T10:23:44.104,2025-01-12T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000320,henry85@example.org,Michael,Scott,39,Other,115070,Single,Some College,Suburban,West Justinland,Massachusetts,USA,2025-01-10T10:23:44.104,2025-01-11T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000319,glynch@example.org,Sharon,Sandoval,25,Other,26147,Single,PhD,Suburban,Kimberlyberg,Colorado,USA,2025-01-02T10:23:44.104,2025-01-05T10:23:44.104,Web,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000318,bryan21@example.org,Julie,Jones,57,M,67199,Single,Bachelor,Suburban,South Robertstad,Tennessee,USA,2024-12-27T10:23:44.104,2024-12-30T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000317,geraldhughes@example.com,David,Andrews,29,M,15354,Widowed,High School,Suburban,Lake Luis,Maine,USA,2025-01-04T10:23:44.104,2025-01-04T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000316,patriciapage@example.com,Eric,Johnson,42,Other,52193,Single,High School,Urban,Lake Linda,Michigan,USA,2024-12-17T10:23:44.104,2024-12-22T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000315,mollybrooks@example.org,Nicole,Key,19,Other,110886,Divorced,PhD,Urban,Port Jackson,Oregon,USA,2025-01-07T10:23:44.104,2025-01-11T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000343,kevin45@example.org,James,Robinson,41,M,53755,Widowed,Master,Suburban,West Bryanfort,California,USA,2024-12-31T10:23:44.104,2025-01-05T10:23:44.104,Email,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
1000344,jennacervantes@example.org,Darrell,Cox,55,F,78327,Married,Bachelor,Urban,Shawborough,Arkansas,USA,2024-12-14T10:23:44.104,2024-12-14T10:23:44.104,Mobile App,True,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
