ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,SHIPPING_COST,PAYMENT_METHOD,SHIPPING_ADDRESS,BILLING_ADDRESS,CREATED_AT,UPDATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,2024-08-18T00:00:00.000,Delivered,3672.88,8.56,Debit Card,80045 David Land Apt. 229,69407 Jose Squares Suite 008,2024-08-18T00:00:00.000,2024-08-18T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4952,917,2024-08-29T00:00:00.000,Delivered,1326.69,9.79,Credit Card,3996 Carrie Road Suite 353,6519 Stephanie Turnpike,2024-08-29T00:00:00.000,2024-09-03T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4964,918,2024-07-22T00:00:00.000,Delivered,2675.37,6.99,Credit Card,03318 Teresa Camp,14982 Andrea Shores Suite 102,2024-07-22T00:00:00.000,2024-07-25T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4963,918,2023-08-28T00:00:00.000,Delivered,1849.12,10.71,PayPal,18773 Allen Prairie,16065 Marshall Hills,2023-08-28T00:00:00.000,2023-08-30T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4962,918,2023-06-28T00:00:00.000,Delivered,1473.3,14.45,PayPal,1364 Brittany Club Suite 835,2951 Porter Valleys,2023-06-28T00:00:00.000,2023-07-03T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4961,918,2024-08-30T00:00:00.000,Delivered,4166.2,7.84,Credit Card,77080 Christopher Meadow,27824 Davis Creek,2024-08-30T00:00:00.000,2024-09-02T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4960,918,2024-02-10T00:00:00.000,Delivered,3433.3,7.81,Debit Card,194 Smith Pines,05671 Mary Keys Suite 942,2024-02-10T00:00:00.000,2024-02-11T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4959,918,2023-03-01T00:00:00.000,Delivered,4057.46,12.14,Credit Card,52698 Randy Way Suite 208,054 Kathy Landing Suite 504,2023-03-01T00:00:00.000,2023-03-05T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4958,918,2024-07-06T00:00:00.000,Delivered,2089.23,5.66,Debit Card,885 Patrick Plain Apt. 909,377 Lee Gateway,2024-07-06T00:00:00.000,2024-07-08T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
4957,917,2024-08-18T00:00:00.000,Delivered,2190.84,15.64,PayPal,68865 Amber Grove Suite 680,1267 Kelly Shores Apt. 394,2024-08-18T00:00:00.000,2024-08-23T00:00:00.000,historic,0747a54f-d6af-4a36-9c4c-84ee4f511e9f,2025-01-12 10:24:12
